Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
PG,Melbourne Business School,Carlton,Full-time MBA,Business & Commerce & Finance & Accounting,,,AUD,year,2,Years,yes,no,IELTS,,,6.5,,,https://mbs.edu/degree-programs/full-time-mba,English,A,Australia's top-ranked MBA in an immersive format that will develop your full potential to succeed.,,Australia,no,yes,no,yes,no,
PG,Melbourne Business School,Online,Part-time MBA (currently online),Business & Commerce & Finance & Accounting,,,AUD,year,2,Years,no,yes,IELTS,,,6.5,,,https://mbs.edu/degree-programs/part-time-mba,English,A,A flexible MBA format designed for busy professionals who are serious about advancing their career.,,Australia,yes,no,no,no,no,
PG,Melbourne Business School,Carlton,Part-time MBA (currently online),Business & Commerce & Finance & Accounting,,,AUD,year,2,Years,no,yes,IELTS,,,6.5,,,https://mbs.edu/degree-programs/part-time-mba,English,A,A flexible MBA format designed for busy professionals who are serious about advancing their career.,,Australia,yes,no,no,no,no,
PG,Melbourne Business School,Online,Executive MBA (currently online),Business & Commerce & Finance & Accounting,,,AUD,year,18,Months,yes,no,IELTS,,,6.5,,,https://mbs.edu/degree-programs/executive-mba,English,A,"Our MBA for high-performing professionals who want
to reach their goals with minimal career disruption.",,Australia,yes,no,no,no,no,
PG,Melbourne Business School,Carlton,Executive MBA (currently online),Business & Commerce & Finance & Accounting,,,AUD,year,18,Months,yes,no,IELTS,,,6.5,,,https://mbs.edu/degree-programs/executive-mba,English,A,"Our MBA for high-performing professionals who want
to reach their goals with minimal career disruption.",,Australia,yes,no,no,no,no,
PG,Melbourne Business School,Online,Senior Executive MBA (currently online),Business & Commerce & Finance & Accounting,,,AUD,year,18,Months,yes,no,IELTS,,,6.5,,,https://mbs.edu/degree-programs/senior-executive-mba,English,A,"The only MBA in Australia designed for CEOs and
other senior leaders with the drive to change the world.",,Australia,yes,no,no,no,no,
PG,Melbourne Business School,Carlton,Senior Executive MBA (currently online),Business & Commerce & Finance & Accounting,,,AUD,year,18,Months,yes,no,IELTS,,,6.5,,,https://mbs.edu/degree-programs/senior-executive-mba,English,A,"The only MBA in Australia designed for CEOs and
other senior leaders with the drive to change the world.",,Australia,yes,no,no,no,no,
PG,Melbourne Business School,Online,Master of Business Analytics (currently online),Business & Commerce & Finance & Accounting,,,AUD,year,1,Year,yes,no,IELTS,,,6.5,,,https://mbs.edu/degree-programs/master-of-business-analytics,English,A,"Our degree for aspiring data professionals, with a focus on personal skills as well as technical expertise.",,Australia,yes,no,no,no,no,
PG,Melbourne Business School,Carlton,Master of Business Analytics (currently online),Business & Commerce & Finance & Accounting,,,AUD,year,1,Year,yes,no,IELTS,,,6.5,,,https://mbs.edu/degree-programs/master-of-business-analytics,English,A,"Our degree for aspiring data professionals, with a focus on personal skills as well as technical expertise.",,Australia,yes,no,no,no,no,
PG,Melbourne Business School,Online,Master of Marketing (currently online),Business & Commerce & Finance & Accounting,,,AUD,year,2,Years,yes,no,IELTS,,,6.5,,,https://mbs.edu/degree-programs/master-of-marketing,English,A,"Our specialist
degree for marketing professionals that will also boost your management and
leadership potential.",,Australia,yes,no,no,no,no,
PG,Melbourne Business School,Carlton,Master of Marketing (currently online),Business & Commerce & Finance & Accounting,,,AUD,year,2,Years,yes,no,IELTS,,,6.5,,,https://mbs.edu/degree-programs/master-of-marketing,English,A,"Our specialist
degree for marketing professionals that will also boost your management and
leadership potential.",,Australia,yes,no,no,no,no,
PG,Melbourne Business School,Carlton,MBA/Master of Marketing,Business & Commerce & Finance & Accounting,,,AUD,year,30,Months,yes,no,IELTS,,,6.5,,,https://mbs.edu/degree-programs/full-time-mba-master-of-marketing,English,A,Combine Australia's top-ranked MBA with deep expertise in Marketing.,,Australia,no,yes,no,yes,no,
PG,Melbourne Business School,Carlton,Specialist Masters,Business & Commerce & Finance & Accounting,,,AUD,year,30,Months,yes,no,IELTS,,,6.5,,,https://mbs.edu/degree-programs/specialist-masters,English,A,,,Australia,no,yes,no,yes,no,
